Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13603083,"Hour of the Lion (The Wild Hunt Legacy, #1)",Cherise Sinclair,"Sinclair, Cherise",,"=""""","=""9780983706304""",0,4.15,VanScoy Publishing Group,ebook,217,2011,2011,,2023/12/21,"to-read, spicy, romance, fantasy, wolves, stand-alone-series","to-read (#176), spicy (#40), romance (#107), fantasy (#135), wolves (#11), stand-alone-series (#19)",to-read,,,,0,0
50027,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",R.A. Salvatore,"Salvatore, R.A.",,"=""""","=""""",0,4.26,Wizards of the Coast,Mass Market Paperback,343,2005,1990,,2023/12/21,"to-read, fantasy, series","to-read (#175), fantasy (#134), series (#127)",to-read,,,,0,0
55812605,Hotel Magnifique,Emily J. Taylor,"Taylor, Emily J.",,"=""0593404513""","=""9780593404515""",0,3.78,Razorbill,Hardcover,400,2022,2022,,2023/12/21,"to-read, fantasy, young-adult","to-read (#174), fantasy (#133), young-adult (#68)",to-read,,,,0,0
42839296,"Hollow Kingdom (Hollow Kingdom, #1)",Kira Jane Buxton,"Buxton, Kira Jane",,"=""1538745828""","=""9781538745823""",0,3.84,Grand Central Publishing,Hardcover,308,2019,2019,,2023/12/21,"to-read, urban-fantasy","to-read (#173), urban-fantasy (#24)",to-read,,,,0,0
55504599,"Hollow Heathens: Book of Blackwell (Tales of Weeping Hollow, #1)",Nicole Fiorina,"Fiorina, Nicole",,"=""""","=""9781735204727""",0,4.09,Nicole Fiorina Books,Paperback,475,2020,2020,,2023/12/21,"to-read, series, romance, urban-fantasy","to-read (#172), series (#126), romance (#106), urban-fantasy (#23)",to-read,,,,0,0
59612836,"The Hexologists (The Hexologists, #1)",Josiah Bancroft,"Bancroft, Josiah",,"=""""","=""""",0,3.89,Orbit,Kindle Edition,318,2023,2023,,2023/12/21,"to-read, series, urban-fantasy","to-read (#171), series (#125), urban-fantasy (#22)",to-read,,,,0,0
57091457,"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,"Laroux, Harley",,"=""""","=""""",0,4.04,,Kindle Edition,493,2021,2021,,2023/12/21,"to-read, series, spicy, romance, fantasy","to-read (#170), series (#124), spicy (#39), romance (#105), fantasy (#132)",to-read,,,,0,0
53205864,"The Helm of Midnight (The Five Penalties, #1)",Marina J. Lostetter,"Lostetter, Marina J.",,"=""1250757053""","=""9781250757050""",0,3.89,Tor Books,Hardcover,464,2021,2021,,2023/12/21,"to-read, heist, fantasy, series","to-read (#169), heist (#10), fantasy (#131), series (#123)",to-read,,,,0,0
6278019,Heart's Blood,Juliet Marillier,"Marillier, Juliet",,"=""0230017916""","=""9780230017917""",0,4.09,Tor/Pan Macmillan UK,Hardcover,405,2009,2009,,2023/12/21,"to-read, fairytale-retelling, fantasy, romance","to-read (#168), fairytale-retelling (#24), fantasy (#130), romance (#104)",to-read,,,,0,0
53195077,"Heart of Fire (Legends of the Storm, #1)",Bec McMaster,"McMaster, Bec",,"=""""","=""""",0,3.82,Lochaber Press Pty. Ltd.,Kindle Edition,278,2020,2017,,2023/12/21,"to-read, dragons, fantasy, spicy, stand-alone-series","to-read (#167), dragons (#12), fantasy (#129), spicy (#38), stand-alone-series (#18)",to-read,,,,0,0
18584855,Heartless,Marissa Meyer,"Meyer, Marissa",,"=""1250044650""","=""9781250044655""",0,4.09,Feiwel & Friends,Hardcover,453,2016,2016,,2023/12/21,"to-read, fairytale-retelling, fantasy, romance, young-adult","to-read (#166), fairytale-retelling (#23), fantasy (#128), romance (#103), young-adult (#67)",to-read,,,,0,0
59414548,"Hallows End (The Curse of the Blood Moon, #1)",Kristen Proby,"Proby, Kristen",,"=""""","=""9781633502000""",0,4.11,"Ampersand Publishing, Inc.",ebook,,2022,2022,,2023/12/21,"to-read, romance, series, urban-fantasy, witches","to-read (#165), romance (#102), series (#122), urban-fantasy (#21), witches (#8)",to-read,,,,0,0
199271100,The Witchwood Knot,Olivia Atwater,"Atwater, Olivia",,"=""1778271391""","=""9781778271397""",0,4.23,Starwatch Press,Kindle Edition,330,2023,2023,,2023/12/21,"to-read, historical, fae, fantasy, magic-realism, romance, series","to-read (#164), historical (#12), fae (#25), fantasy (#127), magic-realism (#5), romance (#101), series (#121)",to-read,,,,0,0
60717747,"Half a Soul (Regency Faerie Tales, #1)",Olivia Atwater,"Atwater, Olivia",,"=""""","=""9780316462808""",0,4.12,Orbit,ebook,304,2022,2020,,2023/12/21,"to-read, fantasy, romance, fae, stand-alone-series, series","to-read (#163), fantasy (#126), romance (#100), fae (#24), stand-alone-series (#17), series (#120)",to-read,,,,0,0
39836383,"The Gutter Prayer (The Black Iron Legacy, #1)",Gareth Ryder-Hanrahan,"Ryder-Hanrahan, Gareth",,"=""0356511529""","=""9780356511528""",0,3.85,Orbit,Paperback,523,2019,2019,,2023/12/21,"to-read, fantasy, heist, series","to-read (#162), fantasy (#125), heist (#9), series (#119)",to-read,,,,0,0
17910048,"The Goblin Emperor (The Goblin Emperor, #1)",Katherine Addison,"Addison, Katherine",,"=""076532699X""","=""9780765326997""",0,4.07,Tor Books,Hardcover,446,2014,2014,,2023/12/21,"to-read, fantasy, series","to-read (#161), fantasy (#124), series (#118)",to-read,,,,0,0
56978100,The Girl Who Fell Beneath the Sea,Axie Oh,"Oh, Axie",Kuri Huang,"=""1250780861""","=""9781250780867""",0,4.13,Feiwel & Friends,Hardcover,325,2022,2022,,2023/12/21,"to-read, asian, fantasy, romance, young-adult","to-read (#160), asian (#9), fantasy (#123), romance (#99), young-adult (#66)",to-read,,,,0,0
39863498,"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi,"Chokshi, Roshani",,"=""125014454X""","=""9781250144546""",0,3.72,Wednesday Books,Hardcover,388,2019,2019,,2023/12/21,"to-read, historical, wolves, magic-realism, fantasy, series","to-read (#159), historical (#11), wolves (#10), magic-realism (#4), fantasy (#122), series (#117)",to-read,,,,0,0
61062766,"The Gilded Crown (The Raven's Trade, #1)",Marianne  Gordon,"Gordon, Marianne",,"=""0008536112""","=""9780008536114""",0,3.78,Harper Voyager,Hardcover,400,2023,2023,,2023/12/21,"to-read, fantasy, romance, series","to-read (#158), fantasy (#121), romance (#98), series (#116)",to-read,,,,0,0
